step temp tot_eng vol density press nO
23900 299.129653803439 2.28428343725192 12895.8536143466 2.00297083466346 2395.75431744634 63
24000 299.575539181884 2.10530933207681 12895.8536143466 2.00297083466346 2265.63487028401 63
24100 303.56522179552 2.19683980304185 12895.8536143466 2.00297083466346 2487.41611395892 63
24200 303.897965183577 2.26846218508121 12895.8536143466 2.00297083466346 2289.22785209041 63
24300 299.876340281668 2.35846303169841 12895.8536143466 2.00297083466346 2418.63876012987 63
24400 297.295267311465 2.78491092003461 12895.8536143466 2.00297083466346 2690.85443890234 63
24500 309.737798108561 3.3113720674471 12895.8536143466 2.00297083466346 2626.65642133965 63
24600 306.141784799337 3.2288058717308 12895.8536143466 2.00297083466346 2483.01041315525 63
24700 305.258877963798 2.09271715380507 12895.8536143466 2.00297083466346 2354.88195009512 63
24800 300.77261154519 1.67278738707124 12895.8536143466 2.00297083466346 2479.40132299897 63
24900 297.524325020515 1.8019101355142 12895.8536143466 2.00297083466346 2360.33378922436 63
25000 306.46513832219 2.56400929526369 12895.8536143466 2.00297083466346 2848.81425486536 63
